SN,Distance,RT,Hand_IB
1,0,0.327476156,-3.307992221
1,0,0.298844347,-7.096808318
1,0,0.284944172,-9.053008427
1,0,0.313327586,-6.587752061
1,0,0.295535876,-7.642562908
1,0,0.294464099,-10.79165544
1,0,0.339321476,4.707393032
1,0,0.278069277,8.067507415
1,0,0.332746738,11.09890416
1,0,0.305913466,12.84558651
1,0,0.380631977,15.85787566
1,0,0.294332769,10.35252816
1,30,0.324704672,9.979838728
1,30,0.327100539,-3.37619003
1,30,0.280728854,-1.008188183
1,30,0.296665931,-11.32166967
1,30,0.339310491,3.829053616
1,30,0.329150488,-7.046977322
1,30,0.317193108,3.376936998
1,30,0.32710115,-8.367075343
1,30,0.407848766,-8.249389523
1,30,0.329316122,13.81881841
1,30,0.329610489,-20.90855933
1,30,0.315933287,-21.18643943
1,30,0.319347302,-9.000839288
1,30,0.315593506,18.59850077
1,30,0.312772041,-2.412012196
1,30,0.350054675,2.081646072
1,30,0.251790416,-2.407253248
1,30,0.303054818,17.97981931
1,30,0.313206631,-7.120845697
1,30,0.308388502,15.24494652
1,30,0.311230087,4.842688963
1,30,0.305023503,-0.056070078
1,30,0.294699549,3.186336387
1,30,0.287058412,1.553389834
1,60,0.322172013,-4.720684884
1,60,0.332473642,-11.46625689
1,60,0.352517551,-3.499564676
1,60,0.309427343,-22.25632929
1,60,0.319023185,18.55809073
1,60,0.341929653,-16.37209301
1,60,0.354391554,9.449850803
1,60,0.344299351,-12.55435007
1,60,0.347541503,-0.205278034
1,60,0.332534546,17.27437489
1,60,0.313476765,15.1452959
1,60,0.30905465,-11.99865218
1,60,0.47463938,-7.415991777
1,60,0.364548535,-0.566052677
1,60,0.323640956,-5.48838523
1,60,0.31548281,-2.588335301
1,60,0.381652553,-6.539631409
1,60,0.347621774,-1.898198874
1,60,0.339505774,-4.594178773
1,60,0.364376585,-7.771484238
1,60,0.381144929,-15.13702139
1,60,0.336068695,-11.5895543
1,60,0.337699015,-5.986159369
1,60,0.353061066,-6.370455046
1,90,0.350481136,-2.740534074
1,90,0.305229583,-3.903455949
1,90,0.341377755,-4.455301723
1,90,0.328387061,-15.88284159
1,90,0.323532072,10.18467583
1,90,0.323662818,-3.093385861
1,90,0.401475472,-10.0372836
1,90,0.332824751,-0.69093129
1,90,0.337897667,-8.730062663
1,90,0.322674467,-5.285555082
1,90,0.370881702,2.74412807
1,90,0.315172437,1.590065197
1,90,0.32529184,-4.978250228
1,90,0.367105747,-8.842712968
1,90,0.336227543,5.417310217
1,90,0.409759851,-15.32406449
1,90,0.390758821,-5.050297449
1,90,0.37617077,6.995297786
1,90,0.319633343,-10.47324457
1,90,0.346366658,1.942701107
1,90,0.338460174,9.914297131
1,90,0.35469985,-3.060489665
1,90,0.374332726,-4.01610879
1,90,0.310929894,-4.595680472
2,0,0.313383472,-3.053773696
2,0,0.307015995,-2.434381684
2,0,0.276490953,-0.254337342
2,0,0.284699657,-8.652381928
2,0,0.313444718,-2.021965905
2,0,0.274069001,1.051283364
2,0,0.280072038,6.430811951
2,0,0.309299148,7.043360383
2,0,0.304935235,7.106029531
2,0,0.27696457,4.369584213
2,0,0.290612634,11.41376176
2,0,0.315780186,9.295905581
2,30,0.328319185,2.530232354
2,30,0.325083893,13.89079224
2,30,0.36925837,-17.99177898
2,30,0.333176918,-15.68959361
2,30,0.293354981,3.259425839
2,30,0.324184068,0.110090841
2,30,0.251724438,20.43813435
2,30,0.285001659,7.210179273
2,30,0.274838581,9.341860647
2,30,0.280107982,1.188553602
2,30,0.252825949,28.72661696
2,30,0.321078868,-1.892373165
2,30,0.275220589,18.06036149
2,30,0.348099414,-4.423856198
2,30,0.319814163,5.865512053
2,30,0.315891156,2.292438172
2,30,0.321564292,2.874081955
2,30,0.301864893,-11.88484296
2,30,0.324986614,9.894395172
2,30,0.283331393,17.12591968
2,30,0.331189414,-1.329015154
2,30,0.300061615,-2.612513664
2,30,0.283117183,23.15469048
2,30,0.296375216,-1.908613064
2,60,0.339925531,2.077683062
2,60,0.330656991,9.195055996
2,60,0.425219082,-4.743001305
2,60,0.295324092,12.48512075
2,60,0.288747949,21.27266473
2,60,0.322542974,0.215368964
2,60,0.336145432,9.263692076
2,60,0.396550237,-18.05895728
2,60,0.443457871,-12.25440072
2,60,0.372015777,-24.40834985
2,60,0.308549425,-6.628177504
2,60,0.271957966,50.00580931
2,60,0.371479123,-13.03545234
2,60,0.477430736,-14.30357244
2,60,0.365620215,2.534174948
2,60,0.366202822,9.713224332
2,60,0.388636448,-21.81663792
2,60,0.387244207,8.411498753
2,60,0.330837583,0.665954234
2,60,0.316196231,-6.879722957
2,60,0.41759309,-28.29863803
2,60,0.394127433,-2.217379028
2,60,0.332676156,-10.21342768
2,60,0.373574961,-5.234166535
2,90,0.350133553,7.302122
2,90,0.371448946,-21.81209762
2,90,0.383534718,43.62455732
2,90,0.346223318,7.148906454
2,90,0.376162094,-15.7794166
2,90,0.258319699,67.4911302
2,90,0.334629378,5.440261688
2,90,0.369716431,-7.566693047
2,90,0.336036039,21.08219004
2,90,0.31929004,33.00475443
2,90,0.456950716,-30.92984245
2,90,0.392995845,-12.81860476
2,90,0.313852721,17.90745973
2,90,0.380283609,-11.1402079
2,90,0.481342864,-5.477019426
2,90,0.350032037,-0.787350773
2,90,0.365148016,-15.01969389
2,90,0.340689903,0.65055593
2,90,0.42666885,0.555717966
2,90,0.339464457,56.1517356
2,90,0.300201825,65.96324348
2,90,0.472679153,-10.98532937
2,90,0.36784243,4.520522741
2,90,0.371173066,-0.532128075
3,0,0.275048257,4.680186144
3,0,0.28572327,-0.150858613
3,0,0.240716305,-0.395927345
3,0,0.30475957,-0.506127749
3,0,0.251833578,-3.679611796
3,0,0.248955798,1.84178625
3,0,0.270111045,9.687797562
3,0,0.239107995,-2.822301701
3,0,0.286307957,5.984777939
3,0,0.258593078,0.263903786
3,0,0.194710353,2.046695657
3,0,0.18781026,-13.50957228
3,30,0.237600494,9.997249404
3,30,0.22419699,9.043020484
3,30,0.304494642,2.007974583
3,30,0.299365422,5.550001592
3,30,0.264998306,16.02889191
3,30,0.268414112,2.795683476
3,30,0.300949803,4.409514993
3,30,0.295213799,7.814110458
3,30,0.285725466,7.26758465
3,30,0.254624927,4.266330195
3,30,0.282575717,22.19033572
3,30,0.284618085,11.94232961
3,30,0.235640448,12.83183142
3,30,0.194720553,19.59267377
3,30,0.218833292,20.95583452
3,30,0.300523543,2.986081445
3,30,0.247192208,21.13191637
3,30,0.256408258,8.862951626
3,30,0.218302454,12.21389121
3,30,0.239945716,7.743725575
3,30,0.282722578,6.793131741
3,30,0.369518634,18.53296641
3,30,0.271084356,-0.3539257
3,30,0.219123626,14.22980547
3,60,0.262826651,6.565870045
3,60,0.233715824,19.10276398
3,60,0.268908471,8.501242767
3,60,0.289449082,11.96616856
3,60,0.300195479,8.024298096
3,60,0.304966334,12.48030167
3,60,0.269928142,22.37607723
3,60,0.241816315,14.83395979
3,60,0.321893374,9.029741875
3,60,0.273808361,18.68638837
3,60,0.343695572,13.21319706
